,wyId,FKGoalsOverExpected,count,TotalFKGoalsOverExpected,Full Name,shortName
6075,6513,-0.027820244159238557,33,-0.9180680572548724,Ra\u00fal Garc\u00eda Carnero,Ra\u00fal Garc\u00eda
25606,25871,-0.07181077500992135,13,-0.9335400751289775,Yoric Ravet,Y. Ravet
7153,16025,-0.02934773205488369,32,-0.9391274257562781,Max Kruse,M. Kruse
11718,8148,-0.034787851161458855,27,-0.939271981359389,Iago Falqu\u00e9 Silva,Iago Falqu\u00e9
23887,345707,-0.06071792518243489,16,-0.9714868029189583,Berkay \u00d6zcan,B. \u00d6zcan
22546,247671,-0.05714661006440467,17,-0.9714923710948794,Nicolas P\u00e9p\u00e9,N. P\u00e9p\u00e9
6191,335763,-0.027942623977410836,35,-0.9779918392093793,Salomon Junior Sambia,J. Sambia
25128,223560,-0.06555849358420178,15,-0.9833774037630267,Levin Mete \u00d6ztunali,L. \u00d6ztunali
18980,273819,-0.0502025951185842,20,-1.004051902371684,Miguel \u00c2ngelo da Silva Rocha,Xeka
6767,38015,-0.028788842892847763,35,-1.0076095012496717,Stef Peeters,S. Peeters
6809,49876,-0.028904698729205196,35,-1.0116644555221819,Granit Xhaka,G. Xhaka
24682,20556,-0.06354295587139208,16,-1.0166872939422733,Antonio Candreva,A. Candreva
20698,20911,-0.05363971089376122,19,-1.0191545069814631,Pasquale Schiattarella,P. Schiattarella
25697,209209,-0.07330077406886328,14,-1.0262108369640859,Flavien Tait,F. Tait
20933,8287,-0.05410622264143982,19,-1.0280182301873566,Luka Modri\u0107,L. Modri\u0107
20989,339791,-0.054135227114712005,19,-1.028569315179528,Alejandro Berenguer Remiro,\u00c1lex Berenguer
22570,28866,-0.05716224649666438,18,-1.028920436939959,Karim Azamoum,K. Azamoum
17725,51145,-0.04727952970146631,22,-1.0401496534322587,Oscar Hiljemark,O. Hiljemark
7919,3319,-0.030624849659502674,34,-1.041244888423091,Mesut \u00d6zil,M. \u00d6zil
22985,14770,-0.05805640057952456,18,-1.045015210431442,Gonzalo Castro Randon,G. Castro
24364,221452,-0.061937913272673305,17,-1.0529445256354462,Vincenzo Grifo,V. Grifo
8436,8326,-0.03101631112229015,34,-1.0545545781578651,Mario  Barwuah Balotelli,M. Balotelli
8645,22695,-0.031177159457211986,34,-1.0600234215452076,Benito Nicolas Viola,N. Viola
23224,16110,-0.05894169282322056,18,-1.06095047081797,Kevin Kampl,K. Kampl
20562,8319,-0.05327316625602223,20,-1.0654633251204446,James Milner,J. Milner
2610,21123,-0.015270327209198159,70,-1.068922904643871,Simone Verdi,S. Verdi
24590,14816,-0.0632648193946998,17,-1.0755019297098967,Shinji Kagawa,S. Kagawa
13725,3314,-0.038581944604336005,28,-1.0802944489214081,\u00c1ngel Fabi\u00e1n di Mar\u00eda Hern\u00e1ndez,\u00c1. di Mar\u00eda
21136,286553,-0.054412145109477325,20,-1.0882429021895466,Anwar El Ghazi,A. El Ghazi
17867,3535,-0.04742806085771277,23,-1.0908453997273937,Jonathan  de Guzm\u00e1n,J. de Guzm\u00e1n
7777,3322,-0.03040144284088299,36,-1.0944519422717875,Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo
12351,110,-0.035939636138266166,31,-1.114128720286251,Jetro Willems,J. Willems
9369,14885,-0.03220665679080026,35,-1.127232987678009,Dennis Aogo,D. Aogo
23393,65055,-0.059460345630196546,19,-1.1297465669737343,Florian Kainz,F. Kainz
7262,216074,-0.029845498223978202,38,-1.1341289325111716,Christian G\u00fcnter,C. G\u00fcnter
23537,134797,-0.05984836291174008,19,-1.1371188953230615,Hernani Azevedo J\u00fanior,Hernani
23648,146583,-0.0601669144111551,19,-1.143171373811947,Julian Brandt,J. Brandt
25343,37796,-0.06765153935041862,17,-1.1500761689571166,Danijel Mili\u010devi\u0107,D. Mili\u010devi\u0107
25675,8290,-0.07255148574731454,16,-1.1608237719570327,Alex  Pritchard,A. Pritchard
24226,49991,-0.06158000818047673,19,-1.170020155429058,Remo Freuler,R. Freuler
19659,25707,-0.051157822208107585,23,-1.1766299107864744,Eden Hazard,E. Hazard
3118,333571,-0.02037599013809041,58,-1.1818074280092439,Lucas Torreira Di Pascua,L. Torreira
22254,4278,-0.056855119210390846,21,-1.1939575034182077,Borja Garc\u00eda Freire,Borja Garc\u00eda
2691,49872,-0.01742060753340297,69,-1.2020219198048048,Xherdan Shaqiri,X. Shaqiri
21255,3476,-0.05465237419027951,22,-1.2023522321861493,Ivan Rakiti\u0107,I. Rakiti\u0107
24660,254189,-0.06347941955293594,19,-1.206108971505783,Iv\u00e1n L\u00f3pez \u00c1lvarez,Ivi
2838,26150,-0.01960992720451873,62,-1.2158154866801614,Riyad Mahrez,R. Mahrez
23925,224593,-0.06099869630278833,20,-1.2199739260557665,Joshua Kimmich,J. Kimmich
7825,9623,-0.030508626374626324,40,-1.220345054985053,Robbie Brady,R. Brady
24840,246063,-0.0642371681683435,19,-1.2205061951985265,Stefano Sensi,S. Sensi
25622,397178,-0.07216695003809875,17,-1.2268381506476789,Marcus Rashford,M. Rashford
11244,25770,-0.03424654465009134,36,-1.2328756074032883,Florian Thauvin,F. Thauvin
11405,3317,-0.03434557931031646,36,-1.2364408551713926,Esteban F\u00e9lix Granero Molina,Granero
16634,7944,-0.04417082859202005,28,-1.2367832005765615,Wayne Rooney,W. Rooney
11468,8471,-0.03442673213539143,37,-1.273789089009483,Andros Townsend,A. Townsend
21970,105378,-0.056026563834583175,23,-1.288610968195413,Yevhen Konoplyanka,Y. Konoplyanka
8166,8370,-0.030814282881534233,42,-1.2941998810244377,Chris Brunt,C. Brunt
25639,9414,-0.0723174302862025,18,-1.301713745151645,Matt Phillips,M. Phillips
24412,20845,-0.06210174599196035,21,-1.3041366658311673,Giacomo Bonaventura,G. Bonaventura
21367,26065,-0.05493329968206179,24,-1.3183991923694829,Jonas Martin,J. Martin
